		<< score >>			
-----------------------------------------------
name                 kor eng mat sum avg    rnk
-----------------------------------------------
JISUNG               100 100 100 300 100.00   1
JIEUN                 95  85 100 280  93.33   3
INJUN                 91  85  71 247  82.33   4
JIYE                  51  91  85 227  75.67   6
YEEUN                 51  39 100 190  63.33   8
SOYOUNG              100 100 100 300 100.00   1
GIJUN                 29  39 100 168  56.00  10
SONGI                 30  59  80 169  56.33   9
INSU                  80 100  58 238  79.33   5
JINJU                 77  34  80 191  63.67   7
